Episode,Total Reward,Steps,Termination Reason
16354,-112,31,boundary
16355,-135,13,no_fly_zone
16356,-165,28,no_fly_zone
16357,-122,36,boundary
16358,60,29,boundary
16359,-125,15,no_fly_zone
16360,51,23,boundary
16361,-173,32,no_fly_zone
16362,-135,13,no_fly_zone
16363,-135,13,no_fly_zone
16364,-76,20,boundary
16365,-34,20,boundary
16366,50,20,boundary
16367,29,20,boundary
16368,-126,38,boundary
16369,-145,72,boundary
16370,-185,38,no_fly_zone
16371,-110,18,no_fly_zone
16372,-130,14,no_fly_zone
16373,-90,20,boundary
16374,-139,69,boundary
16375,-227,59,no_fly_zone
16376,-181,36,no_fly_zone
16377,54,25,boundary
16378,50,20,boundary
16379,-92,21,boundary
16380,1,20,boundary
16381,-90,20,boundary
16382,-62,20,boundary
16383,50,20,boundary
16384,57,27,boundary
16385,-135,13,no_fly_zone
16386,-125,15,no_fly_zone
16387,-90,20,boundary
16388,-147,19,no_fly_zone
16389,-135,13,no_fly_zone
16390,-261,130,boundary
16391,-90,20,boundary
16392,-183,37,no_fly_zone
16393,-572,310,boundary
16394,-92,21,boundary
16395,-135,13,no_fly_zone
16396,8,20,boundary
16397,50,20,boundary
16398,-180,65,boundary
16399,-90,20,boundary
16400,-135,13,no_fly_zone
16401,-235,63,no_fly_zone
16402,-48,20,boundary
16403,29,20,boundary
16404,8,20,boundary
16405,50,20,boundary
16406,-108,29,boundary
16407,43,20,boundary
16408,-180,65,boundary
16409,-147,19,no_fly_zone
16410,-90,20,boundary
16411,-135,13,no_fly_zone
16412,-135,13,no_fly_zone
16413,50,20,boundary
16414,-102,26,boundary
16415,50,20,boundary
16416,43,20,boundary
16417,-135,13,no_fly_zone
16418,-34,20,boundary
16419,50,20,boundary
16420,-334,142,boundary
16421,-141,16,no_fly_zone
16422,-319,145,boundary
16423,-110,18,no_fly_zone
16424,50,20,boundary
16425,-165,28,no_fly_zone
16426,-135,13,no_fly_zone
16427,-135,13,no_fly_zone
16428,-179,35,no_fly_zone
16429,-27,20,boundary
16430,50,20,boundary
16431,-177,34,no_fly_zone
16432,-90,20,boundary
16433,-108,29,boundary
16434,50,20,boundary
16435,-277,180,boundary
16436,1,20,boundary
16437,-155,23,no_fly_zone
16438,-134,42,boundary
16439,22,20,boundary
16440,1,20,boundary
16441,50,20,boundary
16442,-96,23,boundary
16443,-135,13,no_fly_zone
16444,-104,27,boundary
16445,50,20,boundary
16446,-130,14,no_fly_zone
16447,-135,13,no_fly_zone
16448,29,20,boundary
16449,-90,20,boundary
16450,54,25,boundary
16451,-41,20,boundary
16452,51,23,boundary
16453,50,20,boundary
16454,-130,14,no_fly_zone
16455,-106,28,boundary
16456,-133,94,boundary
16457,50,20,boundary
16458,-90,20,boundary
16459,-135,13,no_fly_zone
16460,-120,16,no_fly_zone
16461,50,20,boundary
16462,-90,20,boundary
16463,-69,20,boundary
16464,50,20,boundary
16465,-90,20,boundary
16466,-135,13,no_fly_zone
16467,-125,15,no_fly_zone
16468,-135,13,no_fly_zone
16469,-90,20,boundary
16470,50,20,boundary
16471,-135,13,no_fly_zone
16472,-90,20,boundary
16473,-90,20,boundary
16474,-134,42,boundary
16475,72,37,boundary
16476,-350,178,boundary
16477,-90,20,boundary
16478,-100,25,boundary
16479,-143,71,boundary
16480,-135,13,no_fly_zone
16481,-135,13,no_fly_zone
16482,96,178,target_reached
16483,-205,48,no_fly_zone
16484,-135,13,no_fly_zone
16485,-135,13,no_fly_zone
16486,50,20,boundary
16487,-135,13,no_fly_zone
16488,74,36,boundary
16489,50,20,boundary
16490,-104,27,boundary
16491,-209,50,no_fly_zone
16492,-90,20,boundary
16493,50,20,boundary
16494,-92,21,boundary
16495,-125,15,no_fly_zone
16496,-164,92,boundary
16497,-90,20,boundary
16498,-135,13,no_fly_zone
16499,-130,14,no_fly_zone
16500,-135,13,no_fly_zone
16501,-206,78,boundary
16502,-135,13,no_fly_zone
16503,-143,17,no_fly_zone
16504,-130,14,no_fly_zone
16505,51,23,boundary
16506,-163,60,boundary
16507,50,20,boundary
16508,-90,20,boundary
16509,-135,13,no_fly_zone
16510,60,29,boundary
16511,-90,20,boundary
16512,-212,81,boundary
16513,-34,20,boundary
16514,-83,20,boundary
16515,-48,20,boundary
16516,-1155,700,max_steps
16517,50,20,boundary
16518,-322,136,boundary
16519,-195,43,no_fly_zone
16520,-96,23,boundary
16521,-128,39,boundary
16522,-34,20,boundary
16523,-110,18,no_fly_zone
16524,-130,14,no_fly_zone
16525,-90,20,boundary
16526,-90,20,boundary
16527,-130,14,no_fly_zone
16528,-188,83,boundary
16529,-149,20,no_fly_zone
16530,-147,19,no_fly_zone
16531,-27,20,boundary
16532,50,20,boundary
16533,-110,18,no_fly_zone
16534,-120,16,no_fly_zone
16535,-183,37,no_fly_zone
16536,-135,13,no_fly_zone
16537,-90,20,boundary
16538,-149,20,no_fly_zone
16539,-183,37,no_fly_zone
16540,-191,41,no_fly_zone
16541,392,44,target_reached
16542,-236,93,boundary
16543,-130,14,no_fly_zone
16544,-135,13,no_fly_zone
16545,-154,52,boundary
16546,-137,14,no_fly_zone
16547,-199,45,no_fly_zone
16548,50,20,boundary
16549,-90,27,boundary
16550,-259,75,no_fly_zone
16551,-74,47,boundary
16552,-300,125,boundary
16553,-195,43,no_fly_zone
16554,-48,20,boundary
16555,-179,35,no_fly_zone
16556,-13,20,boundary
16557,-370,160,boundary
16558,-139,15,no_fly_zone
16559,29,20,boundary
16560,-90,20,boundary
16561,388,46,target_reached
16562,50,20,boundary
16563,50,20,boundary
16564,50,20,boundary
16565,-169,30,no_fly_zone
16566,-276,87,no_fly_zone
16567,-108,29,boundary
16568,-20,20,boundary
16569,50,20,boundary
16570,50,20,boundary
16571,-90,20,boundary
16572,50,20,boundary
16573,-930,496,boundary
16574,-153,22,no_fly_zone
16575,50,20,boundary
16576,-135,13,no_fly_zone
16577,-13,20,boundary
16578,50,20,boundary
16579,282,99,target_reached
16580,-90,20,boundary
16581,-281,126,boundary
16582,310,85,target_reached
16583,15,20,boundary
16584,-173,32,no_fly_zone
16585,-110,18,no_fly_zone
16586,-135,13,no_fly_zone
16587,-90,20,boundary
16588,50,20,boundary
16589,-6,20,boundary
16590,-135,13,no_fly_zone
16591,50,20,boundary
16592,50,20,boundary
16593,8,20,boundary
16594,50,20,boundary
16595,-13,20,boundary
16596,-135,13,no_fly_zone
16597,-460,193,no_fly_zone
16598,-135,13,no_fly_zone
16599,29,20,boundary
16600,-135,13,no_fly_zone
16601,50,20,boundary
16602,-120,16,no_fly_zone
16603,400,40,target_reached
16604,-130,14,no_fly_zone
16605,-135,13,no_fly_zone
16606,-135,13,no_fly_zone
16607,-135,13,no_fly_zone
16608,-86,25,boundary
16609,-135,13,no_fly_zone
16610,-289,172,boundary
16611,-13,20,boundary
16612,-254,102,boundary
16613,-135,13,no_fly_zone
16614,-13,20,boundary
16615,50,20,boundary
16616,-120,16,no_fly_zone
16617,-98,24,boundary
16618,-173,32,no_fly_zone
16619,-135,13,no_fly_zone
16620,-155,23,no_fly_zone
16621,8,20,boundary
16622,-169,30,no_fly_zone
16623,15,20,boundary
16624,50,20,boundary
16625,-130,14,no_fly_zone
16626,15,20,boundary
16627,-112,31,boundary
16628,50,20,boundary
16629,54,25,boundary
16630,400,40,target_reached
16631,8,20,boundary
16632,-135,13,no_fly_zone
16633,-322,136,boundary
16634,-135,13,no_fly_zone
16635,-201,46,no_fly_zone
16636,-118,62,boundary
16637,50,20,boundary
16638,-135,13,no_fly_zone
16639,60,29,boundary
16640,50,20,boundary
16641,-6,20,boundary
16642,372,40,target_reached
16643,-186,110,boundary
16644,108,186,target_reached
16645,16,72,boundary
16646,-135,13,no_fly_zone
16647,131,171,target_reached
16648,-128,39,boundary
16649,-90,20,boundary
16650,-90,20,boundary
16651,-124,44,boundary
16652,-135,13,no_fly_zone
16653,-310,130,boundary
16654,-120,300,target_reached
16655,394,43,target_reached
16656,36,20,boundary
16657,-193,42,no_fly_zone
16658,-175,33,no_fly_zone
16659,174,153,target_reached
16660,-135,13,no_fly_zone
16661,-208,121,boundary
16662,-135,13,no_fly_zone
16663,-197,84,boundary
16664,36,20,boundary
16665,-135,13,no_fly_zone
16666,50,20,boundary
16667,50,20,boundary
16668,-130,14,no_fly_zone
16669,-135,13,no_fly_zone
16670,50,20,boundary
16671,-159,25,no_fly_zone
16672,60,29,boundary
16673,51,23,boundary
16674,-130,14,no_fly_zone
16675,-185,38,no_fly_zone
16676,-147,19,no_fly_zone
16677,-120,16,no_fly_zone
16678,50,20,boundary
16679,50,20,boundary
16680,-484,252,boundary
16681,-319,152,boundary
16682,-130,40,boundary
16683,-173,32,no_fly_zone
16684,-150,50,boundary
16685,374,53,target_reached
16686,-215,121,boundary
16687,-186,68,boundary
16688,-135,13,no_fly_zone
16689,-284,382,target_reached
16690,50,20,boundary
16691,-62,20,boundary
16692,-90,20,boundary
16693,-135,13,no_fly_zone
16694,50,20,boundary
16695,-260,105,boundary
16696,50,20,boundary
16697,-96,23,boundary
16698,-252,101,boundary
